Name,Nationality,From,To,P,W,D,L,Win %,L1,L2,FA,LC,CS,EC,UC,US,Notes
Name,Nationality,From,To,Record,Record,Record,Record,Record,Honours,Honours,Honours,Honours,Honours,Honours,Honours,Honours,Notes
William Edward BarclayJohn McKenna,Ireland Ireland,15 February 1892,16 August 1896,7002127000000000000♠127,7001770000000000000♠77,7001200000000000000♠20,7001300000000000000♠30,07001606300000000000♠60.63,0,2,0,0,0,0,0,0,[26][A]
Tom Watson,England,17 August 1896,6 May 1915,7002742000000000000♠742,7002329000000000000♠329,7002141000000000000♠141,7002272000000000000♠272,07001443400000000000♠44.34,2,1,0,0,0,0,0,0,[27]
George Patterson,England,1 June 1915,14 December 1919,7001180000000000000♠18,7000700000000000000♠7,7000200000000000000♠2,7000900000000000000♠9,07001388900000000000♠38.89,0,0,0,0,0,0,0,0,[28]
David Ashworth,England,18 December 1919,12 February 1923,7002139000000000000♠139,7001700000000000000♠70,7001400000000000000♠40,7001290000000000000♠29,07001503600000000000♠50.36,1,0,0,0,0,0,0,0,[29]
Matt McQueen,Scotland,13 February 1923,15 February 1928,7002229000000000000♠229,7001930000000000000♠93,7001600000000000000♠60,7001760000000000000♠76,07001406100000000000♠40.61,1,0,0,0,0,0,0,0,[30]
George Patterson,England,7 March 1928,6 August 1936,7002366000000000000♠366,7002137000000000000♠137,7001850000000000000♠85,7002144000000000000♠144,07001374300000000000♠37.43,0,0,0,0,0,0,0,0,[28]
George Kay,England,6 August 1936,January 1951,7002357000000000000♠357,7002142000000000000♠142,7001930000000000000♠93,7002122000000000000♠122,07001397800000000000♠39.78,1,0,0,0,0,0,0,0,[31]
Don Welsh,England,23 March 1951,4 May 1956,7002232000000000000♠232,7001810000000000000♠81,7001580000000000000♠58,7001930000000000000♠93,07001349109999999999♠34.91,0,0,0,0,0,0,0,0,[32]
Phil Taylor,England,May 1956,17 November 1959,7002150000000000000♠150,7001760000000000000♠76,7001320000000000000♠32,7001420000000000000♠42,07001506700000000000♠50.67,0,0,0,0,0,0,0,0,[33]
Bill Shankly,Scotland,1 December 1959,12 July 1974,7002783000000000000♠783,7002407000000000000♠407,7002198000000000000♠198,7002178000000000000♠178,07001519800000099999♠51.98,3,1,2,0,4,0,1,0,[34]
Bob Paisley,England,26 August 1974,1 July 1983,7002535000000000000♠535,7002308000000000000♠308,7002131000000000000♠131,7001960000000000000♠96,07001575700000000000♠57.57,6,0,0,3,5,3,1,1,[35]
Joe Fagan,England,2 July 1983,29 May 1985,7002131000000000000♠131,7001710000000000000♠71,7001360000000000000♠36,7001240000000000000♠24,07001542000000000000♠54.20,1,0,0,1,0,1,0,0,[36]
Kenny Dalglish,Scotland,30 May 1985,21 February 1991,7002307000000000000♠307,7002187000000000000♠187,7001780000000000000♠78,7001420000000000000♠42,07001609100000000000♠60.91,3,0,2,0,4,0,0,0,[37]
Ronnie Moran*,England,22 February 1991,15 April 1991,7001100000000000000♠10,7000400000000000000♠4,7000100000000000000♠1,7000500000000000000♠5,07001400000000000000♠40.00,0,0,0,0,0,0,0,0,[38]
Graeme Souness,Scotland,16 April 1991,28 January 1994,7002157000000000000♠157,7001660000000000000♠66,7001450000000000000♠45,7001460000000000000♠46,07001420400000000000♠42.04,0,0,1,0,0,0,0,0,[39][B]
Roy Evans,England,31 January 1994,12 November 1998,7002226000000000000♠226,7002117000000000000♠117,7001560000000000000♠56,7001530000000000000♠53,07001517700000000000♠51.77,0,0,0,1,0,0,0,0,[40]
Roy EvansGérard Houllier,England France,16 July 1998,12 November 1998,7001180000000000000♠18,7000700000000000000♠7,7000600000000000000♠6,7000500000000000000♠5,07001388900000000000♠38.89,0,0,0,0,0,0,0,0,[41]
Gérard Houllier,France,16 July 1998,24 May 2004,7002307000000000000♠307,7002160000000000000♠160,7001730000000000000♠73,7001740000000000000♠74,07001521200000000000♠52.12,0,0,1,2,1,0,1,1,[42][C]
Rafael Benítez,Spain,16 June 2004,3 June 2010,7002350000000000000♠350,7002194000000000000♠194,7001770000000000000♠77,7001790000000000000♠79,07001554300000000000♠55.43,0,0,1,0,1,1,0,1,[43]
Roy Hodgson,England,1 July 2010,8 January 2011,7001310000000000000♠31,7001130000000000000♠13,7000900000000000000♠9,7000900000000000000♠9,07001419400000000000♠41.94,0,0,0,0,0,0,0,0,[44]
Kenny Dalglish,Scotland,8 January 2011,16 May 2012,7001740000000000000♠74,7001350000000000000♠35,7001170000000000000♠17,7001220000000000000♠22,07001473000000000000♠47.30,0,0,0,1,0,0,0,0,[45]
Brendan Rodgers,Northern Ireland,1 June 2012,4 October 2015,7002166000000000000♠166,7001830000000000000♠83,7001410000000000000♠41,7001420000000000000♠42,07001500000000000000♠50.00,0,0,0,0,0,0,0,0,[46]
Jürgen Klopp,Germany,8 October 2015,Present,7002166000000000000♠166,7001880000000000000♠88,7001460000000000000♠46,7001320000000000000♠32,07001530100000000000♠53.01,0,0,0,0,0,0,0,0,[47]
